start_date,end_date,vendor_code,vendor_name,invoice date,invoice#,customer,part_code,product_name,vintage,qty,sell_price,sold for,invoice_count,cases_sold,da_amount,da_total,date_active,expiration,da_hit,active
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-20,216554,Acc_3d9e8a,92798.0,Prod_42138237,,60.0,11.49,10.75,1.0,5.0,6.0,30.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-23,216568,Acc_4cfbbf,92798.0,Prod_42138237,,12.0,11.49,11.41,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-23,216577,Acc_441bac,92798.0,Prod_42138237,,12.0,11.49,11.82,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,false,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-23,216599,Acc_0331fe,92798.0,Prod_42138237,,12.0,11.49,11.77,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,false,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-25,216655,Acc_c5838a,92798.0,Prod_42138237,,12.0,11.49,11.6,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,false,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-25,216672,Acc_f77c78,92798.0,Prod_42138237,,12.0,11.49,12.78,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,false,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-26,216686,Acc_32b47e,92798.0,Prod_42138237,,12.0,11.49,11.19,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-26,216701,Acc_e80b64,92798.0,Prod_42138237,,12.0,11.49,10.79,1.0,1.0,6.0,6.0,2025-05-12,2029-12-31,true,true
2025-06-01,2025-06-30,94,VNDR_ZNP5OO,2025-06-05,216190,Acc_b2622c,92800.0,Prod_65890792,,48.0,9.99,10.03,1.0,4.0,5.0,20.0,2025-05-30,2029-12-31,false,true
2025-06-01,2025-06-30,94,VNDR_ZNP5OO,2025-06-12,216361,Acc_b2622c,92800.0,Prod_65890792,,48.0,9.99,9.71,1.0,4.0,5.0,20.0,2025-05-30,2029-12-31,true,true
2025-06-01,2025-06-30,94,VNDR_ZNP5OO,2025-06-12,216362,Acc_e199f7,92800.0,Prod_65890792,,12.0,9.99,10.32,1.0,1.0,5.0,5.0,2025-05-30,2029-12-31,false,true
2025-06-01,2025-06-30,94,VNDR_ZNP5OO,2025-06-12,216384,Acc_a1121d,92800.0,Prod_65890792,,24.0,9.99,10.5,1.0,2.0,5.0,10.0,2025-05-30,2029-12-31,false,true
2025-06-01,2025-06-30,94,VNDR_ZNP5OO,2025-06-19,216528,Acc_b2622c,92800.0,Prod_65890792,,48.0,9.99,10.56,1.0,4.0,5.0,20.0,2025-05-30,2029-12-31,false,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-05,216212,Acc_47c52f,93291.0,Prod_36182866,,24.0,14.99,15.2,1.0,2.0,7.0,14.0,2025-05-06,2029-12-31,false,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-11,216329,Acc_d6252f,93291.0,Prod_36182866,,36.0,14.99,14.35,1.0,3.0,7.0,21.0,2025-05-06,2029-12-31,true,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-18,216491,Acc_d6252f,93291.0,Prod_36182866,,36.0,14.99,14.23,1.0,3.0,7.0,21.0,2025-05-06,2029-12-31,true,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-19,216527,Acc_47c52f,93291.0,Prod_36182866,,12.0,14.99,13.96,1.0,1.0,7.0,7.0,2025-05-06,2029-12-31,true,true
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-03,216146,Acc_b79244,94478.0,Prod_81118140,,24.0,9999.0,16.93,1.0,2.0,6.0,12.0,2024-05-01,2025-05-11,true,false
2025-06-01,2025-06-30,9,VNDR_93N529,2025-06-16,216432,Acc_6fce15,94478.0,Prod_81118140,,12.0,9999.0,14.65,1.0,1.0,6.0,6.0,2024-05-01,2025-05-11,true,false
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-04,216177,Acc_ec4890,96551.0,Prod_75848420,,36.0,10.99,10.82,1.0,3.0,9.0,27.0,2025-05-06,2029-12-31,true,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-04,216188,Acc_38c19c,96551.0,Prod_75848420,,12.0,10.99,12.49,1.0,1.0,9.0,9.0,2025-05-06,2029-12-31,false,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-10,216253,Acc_f10f42,96551.0,Prod_75848420,,12.0,10.99,12.83,1.0,1.0,9.0,9.0,2025-05-06,2029-12-31,false,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-11,216341,Acc_a1121d,96551.0,Prod_75848420,,12.0,10.99,10.67,1.0,1.0,9.0,9.0,2025-05-06,2029-12-31,true,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-20,216566,Acc_93e611,96551.0,Prod_75848420,,12.0,10.99,10.92,1.0,1.0,9.0,9.0,2025-05-06,2029-12-31,true,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-25,216652,Acc_38c19c,96551.0,Prod_75848420,,12.0,10.99,12.09,1.0,1.0,9.0,9.0,2025-05-06,2029-12-31,false,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-10,216252,Acc_6233e4,99051.0,Prod_75779840,,18.0,25.99,25.55,1.0,3.0,4.5,13.5,2025-05-06,2029-12-31,true,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-12,216361,Acc_b2622c,99051.0,Prod_75779840,,6.0,25.99,27.53,1.0,1.0,4.5,4.5,2025-05-06,2029-12-31,false,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-18,216482,Acc_8b08ae,99051.0,Prod_75779840,,6.0,25.99,26.13,1.0,1.0,4.5,4.5,2025-05-06,2029-12-31,false,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-24,216584,Acc_f10f42,99051.0,Prod_75779840,,6.0,25.99,28.2,1.0,1.0,4.5,4.5,2025-05-06,2029-12-31,false,true
2025-06-01,2025-06-30,257,VNDR_QXDZSF,2025-06-25,216651,Acc_8b08ae,99051.0,Prod_75779840,,6.0,25.99,25.49,1.0,1.0,4.5,4.5,2025-05-06,2029-12-31,true,true
2025-06-01,2025-06-30,197,VNDR_F2Q3AP,2025-06-04,216042,Acc_661352,99859.0,Prod_10921119,,12.0,18.49,18.56,1.0,1.0,18.0,18.0,2025-04-11,2030-01-03,false,true
2025-06-01,2025-06-30,197,VNDR_F2Q3AP,2025-06-03,216154,Acc_4cfbbf,99859.0,Prod_10921119,,12.0,18.49,20.82,1.0,1.0,18.0,18.0,2025-04-11,2030-01-03,false,true
