ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-08,172360.6243804824,99095.40352570992,190291.97823785694,172360.6243804824,172360.6243804824,-29588.093168195497,-29588.093168195497,-29588.093168195497,-29588.093168195497,-29588.093168195497,-29588.093168195497,0.0,0.0,0.0,142772.5312122869
2023-01-15,172275.3660511141,88683.87839299125,178679.19618341452,172275.3660511141,172275.3660511141,-38898.27463117483,-38898.27463117483,-38898.27463117483,-38898.27463117483,-38898.27463117483,-38898.27463117483,0.0,0.0,0.0,133377.09141993927
2023-01-22,172190.09564468742,86809.29812033348,174511.80841121258,172190.09564468742,172190.09564468742,-40748.633139638376,-40748.633139638376,-40748.633139638376,-40748.633139638376,-40748.633139638376,-40748.633139638376,0.0,0.0,0.0,131441.46250504904
2023-01-29,172104.82523826076,87597.80988163073,174752.18686351055,172104.82523826076,172104.82523826076,-41072.97881347395,-41072.97881347395,-41072.97881347395,-41072.97881347395,-41072.97881347395,-41072.97881347395,0.0,0.0,0.0,131031.84642478681
2023-02-05,172019.55483183404,87635.81975446087,175662.9489190701,172019.55483183404,172019.55483183404,-39690.93456280394,-39690.93456280394,-39690.93456280394,-39690.93456280394,-39690.93456280394,-39690.93456280394,0.0,0.0,0.0,132328.6202690301
2023-02-12,171934.28442540736,96526.78214952063,183460.82667587962,171934.28442540736,171934.28442540736,-32759.533224458035,-32759.533224458035,-32759.533224458035,-32759.533224458035,-32759.533224458035,-32759.533224458035,0.0,0.0,0.0,139174.7512009493
2023-02-19,171849.0140189807,106865.5170190344,192012.66901627943,171849.0140189807,171849.0140189807,-20730.19545408169,-20730.19545408169,-20730.19545408169,-20730.19545408169,-20730.19545408169,-20730.19545408169,0.0,0.0,0.0,151118.818564899
2023-02-26,171763.74361255404,114499.80545862246,203102.04814878342,171763.74361255404,171763.74361255404,-10627.337150874977,-10627.337150874977,-10627.337150874977,-10627.337150874977,-10627.337150874977,-10627.337150874977,0.0,0.0,0.0,161136.40646167906
2023-03-05,171678.2410772674,119007.65842685661,206257.2413784786,171678.2410772674,171678.2410772674,-9151.39952298648,-9151.39952298648,-9151.39952298648,-9151.39952298648,-9151.39952298648,-9151.39952298648,0.0,0.0,0.0,162526.84155428092
2023-03-12,171592.73854198077,112685.8756175455,200591.57662992072,171592.73854198077,171592.73854198077,-15031.449929335267,-15031.449929335267,-15031.449929335267,-15031.449929335267,-15031.449929335267,-15031.449929335267,0.0,0.0,0.0,156561.2886126455
2023-03-19,171507.23600669412,105422.57014055327,193612.60730740544,171507.23600669412,171507.23600669412,-20182.867766116025,-20182.867766116025,-20182.867766116025,-20182.867766116025,-20182.867766116025,-20182.867766116025,0.0,0.0,0.0,151324.3682405781
2023-03-26,171421.7334714075,105390.24509191295,196612.18212377888,171421.7334714075,171421.7334714075,-18464.038690248868,-18464.038690248868,-18464.038690248868,-18464.038690248868,-18464.038690248868,-18464.038690248868,0.0,0.0,0.0,152957.69478115864
2023-04-02,171336.23093612088,118018.3331151076,202809.89658598843,171336.23093612088,171336.23093612088,-11761.054497254398,-11761.054497254398,-11761.054497254398,-11761.054497254398,-11761.054497254398,-11761.054497254398,0.0,0.0,0.0,159575.17643886647
2023-04-09,171250.72840083422,120002.67455998356,210817.01039170328,171250.72840083422,171250.72840083422,-6696.557869690299,-6696.557869690299,-6696.557869690299,-6696.557869690299,-6696.557869690299,-6696.557869690299,0.0,0.0,0.0,164554.17053114393
2023-04-16,171164.3865017473,119988.82873776752,207904.92977760657,171164.3865017473,171164.3865017473,-6522.326201085202,-6522.326201085202,-6522.326201085202,-6522.326201085202,-6522.326201085202,-6522.326201085202,0.0,0.0,0.0,164642.0603006621
2023-04-23,171078.0446026604,118635.20950184959,209506.90066999494,171078.0446026604,171078.0446026604,-7838.408310715213,-7838.408310715213,-7838.408310715213,-7838.408310715213,-7838.408310715213,-7838.408310715213,0.0,0.0,0.0,163239.63629194518
2023-04-30,170991.7027035735,118978.22633204686,209806.57495445234,170991.7027035735,170991.7027035735,-5248.632311670282,-5248.632311670282,-5248.632311670282,-5248.632311670282,-5248.632311670282,-5248.632311670282,0.0,0.0,0.0,165743.07039190322
2023-05-07,170905.3608044866,128340.36148222825,216781.79928590392,170905.3608044866,170905.3608044866,2246.0718789041657,2246.0718789041657,2246.0718789041657,2246.0718789041657,2246.0718789041657,2246.0718789041657,0.0,0.0,0.0,173151.43268339077
2023-05-14,170819.0189053997,131846.41772991826,224356.20564629848,170819.0189053997,170819.0189053997,10273.656350996464,10273.656350996464,10273.656350996464,10273.656350996464,10273.656350996464,10273.656350996464,0.0,0.0,0.0,181092.67525639615
2023-05-21,170732.6770063128,140787.15596909588,226513.45657145657,170732.6770063128,170732.6770063128,13492.047821799126,13492.047821799126,13492.047821799126,13492.047821799126,13492.047821799126,13492.047821799126,0.0,0.0,0.0,184224.7248281119
2023-05-28,170646.28963707137,136112.8533194318,223334.14898493525,170646.28963707137,170646.28963707137,9754.887572490628,9754.887572490628,9754.887572490628,9754.887572490628,9754.887572490628,9754.887572490628,0.0,0.0,0.0,180401.177209562
2023-06-04,170559.90226782995,125175.12730959475,214214.51342993978,170559.90226782995,170559.90226782995,561.0875463015408,561.0875463015408,561.0875463015408,561.0875463015408,561.0875463015408,561.0875463015408,0.0,0.0,0.0,171120.9898141315
2023-06-11,170473.51489858856,115991.954698034,207014.0594058452,170473.51489858856,170473.51489858856,-10457.922998351465,-10457.922998351465,-10457.922998351465,-10457.922998351465,-10457.922998351465,-10457.922998351465,0.0,0.0,0.0,160015.5919002371
2023-06-18,170387.12752934714,110496.60501715887,192220.78723591738,170387.12752934714,170387.12752934714,-18464.307323710265,-18464.307323710265,-18464.307323710265,-18464.307323710265,-18464.307323710265,-18464.307323710265,0.0,0.0,0.0,151922.82020563688
2023-06-25,170300.7401601057,106920.03153454821,194746.98514635893,170300.7401601057,170300.7401601057,-18661.91909895925,-18661.91909895925,-18661.91909895925,-18661.91909895925,-18661.91909895925,-18661.91909895925,0.0,0.0,0.0,151638.82106114645
2023-07-02,170214.25766399375,117088.87223283085,204095.85925221295,170214.25766399375,170214.25766399375,-9710.598977013664,-9710.598977013664,-9710.598977013664,-9710.598977013664,-9710.598977013664,-9710.598977013664,0.0,0.0,0.0,160503.65868698008
2023-07-09,170127.7751678818,129501.55075645515,218344.538471216,170127.7751678818,170127.7751678818,3007.4962166406103,3007.4962166406103,3007.4962166406103,3007.4962166406103,3007.4962166406103,3007.4962166406103,0.0,0.0,0.0,173135.2713845224
